3	6	0	60
3	7	66	92
3	8	.	.
3	9	68	100
3	10	17	17
3	11	0	74
3	12	0	100
3	13	95	100
3	14	17	27
3	15	0	25
3	16	0	79
3	17	0	17
3	18	15	72
3	19	16	83
3	20	0	100
3	21	0	4
3	22	0	13
3	23	0	64
3	24	0	69
3	25	.	.
3	26	.	.
3	27	0	30
3	28	0	74
3	29	.	.
3	30	.	.
3	31	0	20
3	32	0	9
3	33	3	71
3	34	0	98
3	35	11	26
3	36	0	24
3	37	0	12
3	38	8	34
3	39	8	66
3	40	0	77
3	41	0	67
3	42	13	36
3	43	46	35
3	44	0	62
3	45	0	76
3	46	0	73
3	47	.	.
3	48	0	40
3	49	10	71
3	50	70	20
3	51	.	.
3	52	.	.
3	53	0	80
3	54	7	68
3	55	10	90
3	56	11	94
3	57	0	64
3	58	10	82
3	59	10	61
3	60	8	100
3	61	4	96
3	62	9	84
3	63	13	7
3	64	23	74
3	65	9	23
3	66	12	19
3	67	.	.
3	68	0	15
3	69	.	.
3	70	15	3
3	71	.	.
3	72	6	14
3	73	69	8
3	74	33	23
3	75	17	65
3	76	10	37
3	77	.	.
3	78	15	81
3	79	.	.
3	80	19	26
3	81	12	16
3	82	2	77
3	83	13	91
3	84	0	72
3	85	97	98
3	86	94	94
3	87	.	.
3	88	12	23
3	89	11	76
3	90	0	67
3	91	10	66
3	92	6	72
3	93	91	76
3	94	7	24
3	95	2	81
3	96	7	87
3	97	9	24
3	98	13	22
3	99	.	.
3	100	4	65
3	101	19	62
3	102	.	.
3	103	95	89
3	104	0	61
3	105	0	33
3	106	.	.
3	107	.	.
3	108	0	73
3	109	0	79
3	110	0	1
3	111	8	13
3	112	.	.
3	113	0	7
3	114	7	22
3	115	10	11
3	116	10	13
3	117	9	74
3	118	.	.
3	119	0	9
3	120	5	21
3	121	7	22
3	122	10	16
3	123	.	.
3	124	.	.
4	1	2	65
4	2	15	72
4	3	.	.
4	4	81	88
4	5	61	69
4	6	56	84
4	7	72	100
4	8	50	91
4	9	72	50
4	10	64	90
4	11	76	75
4	12	62	70
4	13	68	70
4	14	64	88
4	15	50	50
4	16	.	.
4	17	73	100
4	18	84	68
4	19	60	66
4	20	35	34
4	21	.	.
4	22	19	58
4	23	70	26
4	24	32	82
4	25	28	71
4	26	70	78
4	27	63	67
4	28	50	64
4	29	63	77
4	30	24	78
4	31	70	96
4	32	65	76
4	33	60	74
4	34	73	80
4	35	76	69
4	36	64	45
4	37	60	65
4	38	75	75
4	39	.	.
4	40	33	32
4	41	35	28
4	42	33	64
4	43	81	100
4	44	9	60
4	45	.	.
4	46	65	71
4	47	73	75
4	48	77	29
4	49	27	90
4	50	.	.
4	51	71	67
4	52	.	.
4	53	.	.
4	54	.	.
4	55	49	70
4	56	74	70
4	57	31	82
4	58	73	82
4	59	70	80
4	60	32	41
4	61	22	25
4	62	30	96
4	63	25	85
4	64	21	67
4	65	.	.
4	66	27	61
4	67	27	71
4	68	.	.
4	69	.	.
4	70	27	66
4	71	.	.
4	72	33	71
4	73	68	73
4	74	20	81
4	75	.	.
4	76	28	70
4	77	.	.
4	78	63	64
4	79	50	45
4	80	.	.
4	81	.	.
4	82	80	85
4	83	76	90
4	84	15	81
4	85	.	.
4	86	74	89
4	87	56	80
4	88	71	89
4	89	.	.
4	90	69	83
4	91	.	.
4	92	89	83
4	93	.	.
4	94	79	50
4	95	.	.
4	96	.	.
4	97	74	73
4	98	.	.
4	99	83	81
4	100	36	65
4	101	26	84
4	102	33	77
4	103	57	77
4	104	.	.
4	105	41	28
4	106	28	23
4	107	58	73
4	108	40	78
4	109	50	86
4	110	71	80
4	111	74	84
4	112	72	91
4	113	29	79
4	114	24	90
4	115	33	71
4	116	29	29
4	117	75	80
4	118	69	77
4	119	71	86
4	120	32	66
4	121	74	84
4	122	73	83
4	123	21	77
4	124	.	.
7	1	0	65
7	2	55	52
7	3	31	56
7	4	69	100
7	5	12	64
7	6	56	62
7	7	70	60
7	8	71	71
7	9	74	54
7	10	74	73
7	11	56	64
7	12	62	69
7	13	68	35
7	14	62	57
7	15	60	36
7	16	60	83
7	17	38	61
7	18	64	89
7	19	77	89
7	20	23	81
7	21	71	98
7	22	72	70
7	23	77	83
7	24	66	77
7	25	85	50
7	26	37	86
7	27	71	84
7	28	78	67
7	29	74	87
7	30	67	87
7	31	59	66
7	32	75	88
7	33	63	68
7	34	64	42
7	35	74	55
7	36	88	75
7	37	57	75
7	38	58	82
7	39	58	58
7	40	66	60
7	41	80	69
7	42	25	56
7	43	57	62
7	44	63	65
7	45	74	68
7	46	18	68
7	47	60	58
7	48	73	74
7	49	75	77
7	50	9	73
7	51	59	56
7	52	64	65
7	53	15	75
7	54	36	62
7	55	69	71
7	56	33	60
7	57	41	60
7	58	60	66
7	59	66	60
7	60	58	68
7	61	79	63
7	62	64	50
7	63	34	69
7	64	78	69
7	65	70	56
7	66	85	69
